Strategie,Netzwerkeffekte,Standardabweichung,Cluster-Effekt,Iteration,Kategorie
Nachhaltigkeit & Lokalit채t,9423.702222222222,248.92934210184904,33.0,1,Cluster
Monetarisierung,9423.372222222222,248.9293421018476,31.9,1,Cluster
Sichtbarkeit & Nutzergewinnung,9421.44502222222,248.92934210184865,25.476000000000003,1,Cluster
Community & Nutzerbindung,9421.062222222225,248.92934210184836,24.200000000000003,1,Cluster
Nachhaltigkeit & Lokalit채t,9322.095555555554,208.36317323188212,33.0,2,Cluster
Monetarisierung,9321.765555555556,208.363173231882,31.9,2,Cluster
Sichtbarkeit & Nutzergewinnung,9319.838355555554,208.36317323188212,25.476000000000003,2,Cluster
Community & Nutzerbindung,9319.455555555554,208.3631732318813,24.200000000000003,2,Cluster
Nachhaltigkeit & Lokalit채t,9436.27,86.69570353316851,33.0,3,Cluster
Monetarisierung,9435.94,86.69570353316918,31.9,3,Cluster
Sichtbarkeit & Nutzergewinnung,9434.0128,86.69570353316954,25.476000000000003,3,Cluster
Community & Nutzerbindung,9433.63,86.69570353316851,24.200000000000003,3,Cluster
Nachhaltigkeit & Lokalit채t,9222.37111111111,158.9385866488244,33.0,4,Cluster
Monetarisierung,9222.04111111111,158.93858664882524,31.9,4,Cluster
Sichtbarkeit & Nutzergewinnung,9220.11391111111,158.93858664882427,25.476000000000003,4,Cluster
Community & Nutzerbindung,9219.731111111112,158.93858664882524,24.200000000000003,4,Cluster
